asset,n_rows,ann_return,ann_vol,max_drawdown,skew
midnight-3_usd,18,1314725.67046493,4.710626402461433,-0.3915770649765989,0.3225853644860674
memecore_usd,177,651.1080906903887,2.4174029026927055,-0.5940232989414848,1.2049129989454703
rain_usd,107,27.625837015922393,1.903006023517599,-0.3192376009612048,5.014064686489783
zcash_usd,366,4.926084735259914,1.3222806818968087,-0.5716192880115072,1.246514519912769
monero_usd,366,1.31596443686959,0.6330318356594091,-0.4342921972460379,-0.1700859397904172
whitebit_usd,353,1.3145152572214127,0.5176524120071744,-0.2164644884978154,4.3626207698114605
okb_usd,366,1.2380047105044047,1.15438334160296,-0.5680015150829434,7.680261897958707
hash-2_usd,212,0.9707479449440032,1.4339044377538677,-0.5465886860195223,0.5521586995257334
pax-gold_usd,366,0.7109226425487511,0.1985098342336851,-0.1162055515704335,-0.3005785609075269
tether-gold_usd,366,0.7094797305898657,0.1888711139333379,-0.1068067744239482,-0.3455802720142877
